date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:50:13	981/981	---M--	200	added ('OK')	image/png	etag:%225911c272-3d5%22	http://sites.udel.edu/arden-map/wp-content/themes/attorney/library/images/arrow-left.png	/home/trescube/arden/sites.udel.edu/arden-map/wp-content/themes/attorney/library/images/arrow-left.png	(from http://sites.udel.edu/arden-map/wp-content/themes/attorney/style.css?ver=4.8.2)
12:50:13	984/984	---M--	200	added ('OK')	image/png	etag:%225911c272-3d8%22	http://sites.udel.edu/arden-map/wp-content/themes/attorney/library/images/arrow-down.png	/home/trescube/arden/sites.udel.edu/arden-map/wp-content/themes/attorney/library/images/arrow-down.png	(from http://sites.udel.edu/arden-map/wp-content/themes/attorney/style.css?ver=4.8.2)
12:50:13	23545/23545	---MCZ	200	added ('OK')	text/html	date:Wed,%2018%20Oct%202017%2016:50:13%20GMT	http://sites.udel.edu/arden-map/architecture-in-the-ardens/architecture-and-social-relationships/	/home/trescube/arden/sites.udel.edu/arden-map/architecture-in-the-ardens/architecture-and-social-relationships/index.html	(from http://sites.udel.edu/arden-map/)
12:50:13	3208/3208	---M--	200	added ('OK')	image/gif	etag:%225911c272-c88%22	http://sites.udel.edu/arden-map/wp-content/themes/attorney/library/images/loading.gif	/home/trescube/arden/sites.udel.edu/arden-map/wp-content/themes/attorney/library/images/loading.gif	(from http://sites.udel.edu/arden-map/wp-content/themes/attorney/style.css?ver=4.8.2)
12:50:14	1000/1000	---M--	200	added ('OK')	image/png	etag:%225911c272-3e8%22	http://sites.udel.edu/arden-map/wp-content/themes/attorney/library/images/trans.png	/home/trescube/arden/sites.udel.edu/arden-map/wp-content/themes/attorney/library/images/trans.png	(from http://sites.udel.edu/arden-map/wp-content/themes/attorney/style.css?ver=4.8.2)
12:50:16	23539/23539	---MCZ	200	added ('OK')	text/html	date:Wed,%2018%20Oct%202017%2016:50:15%20GMT	http://sites.udel.edu/arden-map/architecture-in-the-ardens/architecture-as-communication/	/home/trescube/arden/sites.udel.edu/arden-map/architecture-in-the-ardens/architecture-as-communication/index.html	(from http://sites.udel.edu/arden-map/)
12:50:16	82792/82792	---MCZ	200	added ('OK')	text/html	date:Wed,%2018%20Oct%2017%2016:50:15%20+0000	http://sites.udel.edu/arden-map/the-camps-cottages-and-castles/	/home/trescube/arden/sites.udel.edu/arden-map/the-camps-cottages-and-castles/index.html	(from http://sites.udel.edu/arden-map/)
12:50:16	23522/23522	---MCZ	200	added ('OK')	text/html	date:Wed,%2018%20Oct%202017%2016:50:16%20GMT	http://sites.udel.edu/arden-map/architecture-in-the-ardens/designing-nature-into-the-ardens/	/home/trescube/arden/sites.udel.edu/arden-map/architecture-in-the-ardens/designing-nature-into-the-ardens/index.html	(from http://sites.udel.edu/arden-map/)
12:50:18	25312/25312	---MCZ	200	added ('OK')	text/html	date:Wed,%2018%20Oct%202017%2016:50:17%20GMT	http://sites.udel.edu/arden-map/architecture-in-the-ardens/the-embrace-of-whimsy-and-fantasy/	/home/trescube/arden/sites.udel.edu/arden-map/architecture-in-the-ardens/the-embrace-of-whimsy-and-fantasy/index.html	(from http://sites.udel.edu/arden-map/)
12:50:19	287/287	---MCZ	200	added ('OK')	text/plain	date:Wed,%2018%20Oct%2017%2016:50:19%20+0000	https://sites.udel.edu/robots.txt		(from http://sites.udel.edu/arden-map/)
12:50:20	1045/1045	---MCZ	200	added ('OK')	text/xml	etag:W/%22541b167e-415%22	http://sites.udel.edu/arden-map/wp-includes/wlwmanifest.xml	/home/trescube/arden/sites.udel.edu/arden-map/wp-includes/wlwmanifest.xml	(from http://sites.udel.edu/arden-map/)
12:50:22	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Wed,%2018%20Oct%202017%2016:50:21%20GMT	http://sites.udel.edu/arden-map/?p=791	/home/trescube/arden/sites.udel.edu/arden-map/index106b.html	(from http://sites.udel.edu/arden-map/about-the-ardens/)
12:50:22	2312/2312	---MC-	200	added ('OK')	application/json	date:Wed,%2018%20Oct%202017%2016:50:21%20GMT	http://sites.udel.edu/arden-map/wp-json/oembed/1.0/embed?url=http%3A%2F%2Fsites.udel.edu%2Farden-map%2Fabout-the-ardens%2F	/home/trescube/arden/sites.udel.edu/arden-map/wp-json/oembed/1.0/embed31c4.json	(from http://sites.udel.edu/arden-map/about-the-ardens/)
12:50:32	43887/43887	---M--	200	added ('OK')	image/jpeg	etag:%2297603c03f37a2d99c65b0d59bce0d5ea%22	https://sites.udel.edu/arden-map/files/2017/09/00594_web_1-1nb6iso.jpg	/home/trescube/arden/sites.udel.edu/arden-map/files/2017/09/00594_web_1-1nb6iso.jpg	(from http://sites.udel.edu/arden-map/about-the-ardens/)
12:50:34	2442/2442	---MC-	200	added ('OK')	application/json	date:Wed,%2018%20Oct%202017%2016:50:34%20GMT	http://sites.udel.edu/arden-map/wp-json/oembed/1.0/embed?url=http%3A%2F%2Fsites.udel.edu%2Farden-map%2Fabout-the-ardens%2Fgeorgism-geoism-or-single-tax-theory-the-origins-of-arden%2F	/home/trescube/arden/sites.udel.edu/arden-map/wp-json/oembed/1.0/embedaec1.json	(from http://sites.udel.edu/arden-map/about-the-ardens/georgism-geoism-or-single-tax-theory-the-origins-of-arden/)
12:50:37	84454/84454	---M--	200	added ('OK')	image/jpeg	etag:%22bde66d4070270ec4b9ac243151da1e1f%22	https://sites.udel.edu/arden-map/files/2017/09/foundersinfront-of-house-2mevg81.jpg	/home/trescube/arden/sites.udel.edu/arden-map/files/2017/09/foundersinfront-of-house-2mevg81.jpg	(from http://sites.udel.edu/arden-map/about-the-ardens/)
